,1,2,3,4,5,6,7,8,9
S100A11 ,0.008049766,-0.032439466,-0.17319971,-0.122715438,-0.16320467,-0.303964914,-0.169504659,-0.20999389,-0.350754134
RPS27 ,0.749054111,0.629838332,0.220405208,0.546237539,0.42702176,0.017588635,0.51536325,0.396147471,-0.013285653
PHB ,-0.042981718,-0.235180925,-0.232423286,-0.030814733,-0.22301394,-0.220256301,-0.350156319,-0.542355527,-0.539597888
RBM3 ,-0.151247806,-1.455114021,-1.415012401,-0.190853132,-1.494719347,-1.454617727,0.024628088,-1.279238128,-1.239136508
RPL36 ,0.801817468,0.684518497,0.303458381,0.563132312,0.445833341,0.064773226,0.448854231,0.331555261,-0.049504855
PSMC4 ,-0.103823747,-0.028615352,-0.109447447,-0.140464425,-0.065256031,-0.146088125,-0.37086923,-0.295660836,-0.376492931
DYNLL1 ,0.602097973,0.500632468,0.302604093,0.231034494,0.12956899,-0.068459385,0.769154637,0.667689132,0.469660757
HSF1 ,0.454792185,0.443289701,0.528691805,0.081038101,0.069535617,0.154937721,0.183442896,0.171940412,0.257342516
LAP3 ,0.367049238,0.473106543,0.341354257,0.082939974,0.188997279,0.057244994,0.11230582,0.218363125,0.08661084
HNRNPDL ,-0.026932358,-0.25737222,-0.407067158,-0.032585289,-0.263025151,-0.412720089,-0.439083614,-0.669523476,-0.819218414
PARP1 ,0.844944886,0.604191467,0.247094802,0.499603291,0.258849872,-0.098246792,0.75964033,0.518886911,0.161790246
PRDX3 ,0.710059914,0.607136109,0.520140485,0.187263586,0.08433978,-0.002655843,0.430746217,0.327822411,0.240826787
CABS1 ,0.074930939,-0.430510252,-0.177019152,-0.223873017,-0.729314208,-0.475823109,-0.542165947,-1.047607138,-0.794116039
YWHAH ,0.570873053,0.470502269,0.194577685,0.328294285,0.227923501,-0.048001082,0.417154808,0.316784025,0.040859441
PEBP1 ,0.011236556,-0.053594383,-0.221772779,-0.244417213,-0.309248153,-0.477426549,-0.106651099,-0.171482039,-0.339660435
HK2 ,0.709622047,0.638656229,0.162576524,0.634406883,0.563441066,0.08736136,0.449178382,0.378212564,-0.097867141
LRRC46 ,1.286257649,0.84643991,0.640907899,0.584704413,0.144886674,-0.060645338,0.940565199,0.50074746,0.295215449
PGD ,-1.963894508,-1.718626319,-0.915897641,-0.966656644,-0.721388455,0.081340223,-1.037711294,-0.792443105,0.010285573
PLS3 ,0.017572876,-0.027957223,-0.018181499,-0.142043556,-0.187573656,-0.177797931,-0.103565813,-0.149095912,-0.139320188
ATP5PO ,0.774842877,0.657319448,0.179207677,0.637300744,0.519777314,0.041665543,0.514689215,0.397165785,-0.080945986
PIK3C2A ,0.884090519,0.618907764,0.250274448,0.575415668,0.310232912,-0.058400403,0.687725414,0.422542658,0.053909343
TRIM28 ,0.106213561,-0.191354817,-0.133133376,-0.215162061,-0.512730439,-0.454508998,-0.274605833,-0.57217421,-0.51395277
RCN2 ,0.008860996,-0.003471414,-0.04843371,-0.345114372,-0.357446782,-0.402409078,-0.45784265,-0.47017506,-0.515137356
